url_name,id,item_name,thumb,vaulted
arcane_ice,551085c9e7798972b4a2b206,Arcane Ice,items/images/en/thumbs/arcane_ice.d3cb62ba9923dcf396c854fb857e5718.128x128.png,False
arcane_intention,644b00227ec1900044b97723,Arcane Intention,items/images/en/thumbs/arcane_intention.2d412880c8134b5078de0b9debf2a9e7.128x128.png,False
arcane_locust_ash_helmet,54aaf1a2e77989598d22c782,Arcane Locust Helmet,items/images/en/thumbs/arcane_locust_ash_helmet.313ff34abae66671da2978f2325a3dd8.128x128.png,False
arcane_menticide_nyx_helmet,54aaf170e779893cfbd8ec50,Arcane Menticide Helmet,items/images/en/thumbs/arcane_menticide_nyx_helmet.9ed49fb0a6adc0edf1b75ea960c2ce2e.128x128.png,False
arcane_meridian_trinity_helmet,54aaf2e9e779892185a51ef4,Arcane Meridian Helmet,items/images/en/thumbs/arcane_meridian_trinity_helmet.bc33ca5ac4092fbc126c40e9997c0213.128x128.png,False
arcane_momentum,5667516b5dcbc186f0536bd2,Arcane Momentum,items/images/en/thumbs/arcane_momentum.f551dd91689f3169160aafecddeede24.128x128.png,False
arcane_nullifier,56153e78b66f83706f01716f,Arcane Nullifier,items/images/en/thumbs/arcane_nullifier.2fa3bc7cd7e902ae797f175896f10f97.128x128.png,False
arcane_pendragon_excalibur_helmet,54aaefc3e779893b1ffe451d,Arcane Pendragon Helmet,items/images/en/thumbs/arcane_pendragon_excalibur_helmet.3559c9930fe03efffda9f190abb33e61.128x128.png,False
arcane_phantasm,551085d6e7798972bcb28132,Arcane Phantasm,items/images/en/thumbs/arcane_phantasm.78366e4d487988a78d128a4822b4f824.128x128.png,False
arcane_phoenix_ember_helmet,54aaf265e779895081b99385,Arcane Phoenix Helmet,items/images/en/thumbs/arcane_phoenix_ember_helmet.60c4c41457b1b29347dfd74551684366.128x128.png,False
arcane_pistoleer,5d8765df7ea27b08950c13cc,Arcane Pistoleer,items/images/en/thumbs/arcane_pistoleer.bedeb0f2ceb9e91f99f682b990c09648.128x128.png,False
arcane_power_ramp,649322af7ec190215a693091,Arcane Power Ramp,items/images/en/thumbs/arcane_power_ramp.3acad1eaec440c1505c01661a7228664.128x128.png,False
arcane_precision,566751815dcbc186f0536bd3,Arcane Precision,items/images/en/thumbs/arcane_precision.9947891b2c40889b5ae96ea6987df9c1.128x128.png,False
arcane_primary_charger,5d8765de7ea27b08950c13bf,Arcane Primary Charger,items/images/en/thumbs/arcane_primary_charger.bedeb0f2ceb9e91f99f682b990c09648.128x128.png,False
arcane_pulse,56153e9bb66f837074af99c5,Arcane Pulse,items/images/en/thumbs/arcane_pulse.9f9a959b60addb3377fec907f8c5d35b.128x128.png,False
arcane_pulse_volt_helmet,54aaf2ade779897b41e2872c,Arcane Pulse Helmet,items/images/en/thumbs/arcane_pulse_volt_helmet.bd03065877b19dee59e84a9861b9a3df.128x128.png,False
arcane_rage,551085dde7798972c228aed9,Arcane Rage,items/images/en/thumbs/arcane_rage.5a83a065bab0b881f7b2d1c8a2dbd7a9.128x128.png,False
arcane_reaper,644b00247ec1900044b97733,Arcane Reaper,items/images/en/thumbs/arcane_reaper.5eaac187d816d010ec44ee1a05979564.128x128.png,False
arcane_resistance,55a46c61e779890338bfadd8,Arcane Resistance,items/images/en/thumbs/arcane_resistance.4ca1f093ba47158b7f2641f3508e9b99.128x128.png,False
arcane_reverb_banshee_helmet,54aaf284e77989627dc20627,Arcane Reverb Helmet,items/images/en/thumbs/arcane_reverb_banshee_helmet.c543a6ee57a307736eb58cb31df74935.128x128.png,False
